E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     71.50    6.51    6.02    7.09    0.07
  0     200        139.55   6818.43   77.07   77.18   76.96    0.77
  0     400        256.22   4841.83   82.38   81.86   82.91    0.82
  1     600        168.43   3302.16   84.24   83.54   84.96    0.84
  1     800        148.28   3147.45   87.43   87.23   87.64    0.87
  2    1000        262.19   2990.40   87.32   87.10   87.53    0.87
  3    1200        254.29   3113.06   88.67   88.21   89.13    0.89
  5    1400        347.22   2784.27   88.81   88.46   89.16    0.89
  6    1600        342.12   2432.72   90.36   89.98   90.73    0.90
